order_id,qty,datetime,store_id,product_id,txn_id
628e4bd5f032395bc200011e,3,2/14/2022,3,bace903f-8be2-441a-91db-85d332406410,628e4bbcf032395e2300016d
628e4bd5f032395bc200011f,9,3/18/2022,4,e2523bfb-fcbd-4d44-8695-37317752ecfc,628e4bbcf032395b67000101
628e4bd5f032395bc2000120,7,4/2/2022,4,9068362c-b649-4026-9acf-3ffc68a3323c,628e4bbcf0323958d0000101
628e4bd5f032395bc2000121,8,2/25/2022,2,c93f4da1-67a8-413f-8eb8-bf4f66662379,628e4bbcf0323957db000101
628e4bd5f032395bc2000122,10,3/4/2022,1,c0a4a532-4800-4171-af2c-4efea0ea380c,628e4bbcf03239592e00010e
628e4bd5f032395bc2000123,5,2/17/2022,1,ec64d596-ca25-49d4-983b-e8883756938b,628e4bbcf032395d82000107
628e4bd5f032395bc2000124,9,1/6/2022,1,6bbf0513-595c-4a80-b11d-fb1e83c38bda,628e4bbcf032395e2300016f
628e4bd5f032395bc2000125,7,3/20/2022,4,5f23af9d-01c3-4a0d-8814-afd5fcbbb37c,628e4bbcf032395bc2000112
628e4bd5f032395bc2000126,1,5/5/2022,1,6574e686-be14-4eec-97bf-ce66e5e64e8f,628e4bbcf0323957db00011a
628e4bd5f032395bc2000127,5,2/24/2022,2,2c6535b6-99cd-47be-8644-b2ba7527553c,628e4bbcf032395b1300010e
628e4bd5f032395bc2000128,9,2/9/2022,2,5a493a15-fdcc-4084-b666-826bac49f1e6,628e4bbcf032395ac000011b
628e4bd5f032395bc2000129,6,1/5/2022,3,6b79cb7e-b6e0-457c-887c-23f85a15e180,628e4bbcf032395b13000114
628e4bd5f032395bc200012a,3,2/16/2022,2,86b93054-3867-449b-9079-7eb94a7b5cd9,628e4bbcf03239592e00010a
628e4bd5f032395bc200012b,4,3/30/2022,3,dad13f4f-d39d-4ad8-8d24-a072cad69432,628e4bbcf032395b1800010b
628e4bd5f032395bc200012c,4,4/20/2022,2,9ba381ff-e139-471b-8da4-db04b3d7ddb5,628e4bbcf0323958d000010f
628e4bd5f032395bc200012d,8,1/10/2022,2,85dcde9b-6265-4de2-99c1-57515be36f3b,628e4bbcf03239592e000104
628e4bd5f032395bc200012e,10,5/23/2022,4,913bef03-df8c-4508-8be4-1a283758398d,628e4bbcf032395b26000110
628e4bd5f032395bc200012f,7,2/10/2022,1,d5dff448-94ce-4151-a488-b6e0d7264697,628e4bbcf032395bc2000102
628e4bd5f032395bc2000130,4,4/23/2022,1,b8b11276-e06e-4de8-ab17-cfa95a4714d1,628e4bbcf032395b3200011b
628e4bd5f032395bc2000131,2,2/8/2022,2,1ab241b3-a636-4e2b-bcc3-fb39c7355ae6,628e4bbcf032395910000109
628e4bd5f032395bc2000132,3,2/12/2022,1,72c44bfd-1ab2-41e0-a9a0-1f63469f5e6a,628e4bbcf032395e23000164
628e4bd5f032395bc2000133,6,1/10/2022,2,51f11b65-6660-4fa9-97be-f9d68be5a9d6,628e4bbcf032395b67000110
628e4bd5f032395bc2000134,10,3/20/2022,2,97d6cffa-f82e-48a1-ae5a-62852e7f6dd4,628e4bbcf032395b6700011a
628e4bd5f032395bc2000135,3,3/29/2022,1,3f2529c2-e036-4035-952f-65631cd1d351,628e4bbcf032395b1800010d
628e4bd5f032395bc2000136,4,2/1/2022,3,76aa100f-dbc3-4dfd-9d09-1ca706298dee,628e4bbcf032395b32000114
628e4bd5f032395bc2000137,2,1/13/2022,4,8446b59d-47d9-404b-98cc-4ab02270ec17,628e4bbcf032395d82000104
628e4bd5f032395bc2000138,2,3/19/2022,3,49c17879-f929-410f-9413-56f61f31e0ea,628e4bbcf03239587b00010a
628e4bd5f032395bc2000139,10,2/26/2022,4,ff48d8ff-41df-49b4-a124-1277738db1c4,628e4bbcf032395ac000010a
628e4bd5f032395bc200013a,6,4/18/2022,3,84f84700-e8a3-4ebe-93b1-e76dc19092ce,628e4bbcf03239578000011c
628e4bd5f032395bc200013b,3,3/22/2022,2,4eb47a7b-ef7b-43a6-9e16-89ac5aeed609,628e4bbcf032395b1800011d
628e4bd5f032395bc200013c,3,2/17/2022,2,e2a9de1d-0fcb-45d3-9d24-0a4941a0f9b4,628e4bbcf032395ac0000107
628e4bd5f032395bc200013d,3,1/23/2022,4,b5135f96-6552-493f-8973-3f12114d8385,628e4bbcf032395b18000100
628e4bd5f032395bc200013e,3,5/21/2022,3,e0f021c9-f530-493a-a002-d7c39d47bf78,628e4bbcf032395b32000101
628e4bd5f032395bc200013f,7,2/17/2022,3,a87fd952-3957-4359-96de-f10836089777,628e4bbcf032395c0c000109
628e4bd5f032395bc2000140,5,4/9/2022,2,ff65ddb1-9750-440e-a7b2-67ba71b84291,628e4bbcf03239578000011d
628e4bd5f032395bc2000141,6,1/14/2022,2,da95fd06-8cba-4254-9c2e-61f62c2090b0,628e4bbcf032395e5f000103
628e4bd5f032395bc2000142,5,4/18/2022,4,487e662f-4cb2-4d37-8179-aba06c7035b8,628e4bbcf0323957db000113
628e4bd5f032395bc2000143,7,5/16/2022,2,47ec13bd-83ea-43b8-ba6d-96891c684f4e,628e4bbcf032395c0c000115
628e4bd5f032395bc2000144,6,2/3/2022,2,4e669fe5-9343-4a94-a060-b5851ca16bf7,628e4bbcf032395e2300016e
628e4bd5f032395bc2000145,6,2/22/2022,2,06e980ce-815f-4cf4-a9d8-48919745417b,628e4bbcf032395dce00011c
