product_id,product_name,price
168feb7b-a977-4538-898c-4050a75c047d,"Pepper - Black, Whole",$25.29
74859e39-890c-402b-9b31-27b06e4b42b4,Bouq All Italian - Primerba,$31.71
29a89ee7-9839-4d44-9431-a8ebc110a503,Wine - Pinot Noir Mondavi Coastal,$58.85
69a78a8f-3222-4fa0-87ba-565c93f3d6c7,"Beans - Kidney, Canned",$95.70
a344b158-80e5-4908-8d39-a8e161bdeec2,Chinese Foods - Chicken Wing,$68.47
935316a6-9eef-48e1-9502-4d581236bedb,"Ranchero - Primerba, Paste",$96.37
79f16b1e-0510-42b6-9c47-6b5c9036f54c,Wine - Lamancha Do Crianza,$74.30
94570341-36c5-43d2-87d0-12c066c5ab49,Longos - Grilled Chicken With,$14.56
caaace12-7bf0-43ed-9b77-f4cd3ed0f6cf,"Red Snapper - Fresh, Whole",$93.30
97d6cffa-f82e-48a1-ae5a-62852e7f6dd4,Green Tea Refresher,$40.73
66fe7b67-1a7c-474e-b1be-623e2e2e02b7,Cheese - Pont Couvert,$27.43
37b36698-f567-4a4d-81c9-5590b125f04c,Wine - Periguita Fonseca,$81.90
9c9cd208-d655-42e1-86a9-a735f4daea6d,Rice - 7 Grain Blend,$96.99
5972dbea-8f96-4b56-9e3d-b0f777ad47ce,Mushroom - Portebello,$65.84
adb2c53b-3caa-42dd-af2c-f9a0adc5527f,Tea - Apple Green Tea,$45.45
00378e44-ee78-40ef-a22d-c7c870ba5f7a,Cheese - Cheddar With Claret,$12.12
8cf88383-0c8e-4e45-8d94-dea9bb4d3848,Corn Kernels - Frozen,$10.56
dc13e563-a2be-4db2-9ca5-04efaae6f45b,Tea Peppermint,$19.71
18c71a8c-0b2c-4f12-bc4a-e5f45a429cbc,Bread - 10 Grain,$41.35
dc890628-9f25-4dd2-8ebd-24c1d508e034,Bread Base - Gold Formel,$63.72
e0477a87-2e3b-42e5-91dd-cbd44bf5914e,Kellogs Special K Cereal,$18.87
d9d7203e-fdd4-44a0-a35e-e2963fb8a3fd,Kirsch - Schloss,$91.97
a7dc43a4-baca-4bab-b1ca-eeb96dae79af,Beets - Golden,$91.33
0dc02e1a-c580-4804-864b-c98b8a875645,Sugar - Palm,$90.46
d7b9c527-1c40-45b4-873b-89d28d5e06d5,Trout Rainbow Whole,$40.53
080f6b7c-bbce-43ca-8e39-21787068f63e,Soup - Base Broth Beef,$31.88
a8e20cab-1d8b-48dd-b268-a99756fc4e2d,Jameson - Irish Whiskey,$15.85
48f7abe9-bc04-4893-b150-e777adbc3ae0,Rhubarb,$39.31
e2ad9c68-57cc-4342-904b-ad7854527699,"7up Diet, 355 Ml",$84.13
5cd7c90b-2235-4ad4-b0a5-9d7ef4161a55,"Crab - Dungeness, Whole",$38.11
2ad0b13b-5b93-4b77-8fc1-f78b7cc63951,Mustard Prepared,$34.18
bf47e3a0-bd85-4a88-a7a6-6b8084b8895d,Soup - Campbells Bean Medley,$14.36
10b36733-7d40-4550-a202-9fbcad0867be,"Iced Tea - Lemon, 340ml",$21.36
b3b87311-d5bd-42aa-b84e-4a45a3b14246,"Cake Circle, Foil, Scallop",$50.10
94727c06-e362-4c03-88fc-e436d8327130,Muffin Mix - Raisin Bran,$41.76
87c499e9-9754-44af-a8bf-3bfb34e5957c,"Nut - Hazelnut, Ground, Natural",$23.41
acbcdd3a-62d5-4391-81c8-65179bf73c35,Roe - Flying Fish,$39.81
506a9deb-181b-486c-a53f-493bfa491828,Glaze - Clear,$57.80
d7414330-4c25-4921-aec6-910f82c0e220,Wine - Trimbach Pinot Blanc,$80.24
d1a4fa89-055b-48e9-815b-d5642533179e,Bread - Flat Bread,$97.58
c9c17c79-cc59-4b52-914c-c371c41a10fe,Juice - Lagoon Mango,$80.04
493b35eb-210d-487e-b736-9acb32e5e419,Table Cloth 81x81 Colour,$95.76
1d0985a8-7a48-49c0-9fc5-fe895538cd18,Petit Baguette,$77.63
bebab5a4-5bb5-4ee7-bd9e-d6797d485aed,"Tomatoes - Diced, Canned",$49.00
e8320313-86fb-45e3-9243-fd3c55dfa0dc,Table Cloth 81x81 Colour,$96.50
cd5d3edc-b0ef-4464-87ca-f54d1c38ea20,Anisette - Mcguiness,$28.84
72fd31a0-eb82-4e89-ade5-3f9955571258,Cheese - Colby,$76.49
afca926a-930a-479e-b037-f22da28acfe8,Chocolate - Milk,$41.05
89bdf4a2-40b6-4a3b-bfe8-8b8a217f1371,Beer - Fruli,$96.93
b14ffc00-239b-40ec-8276-2ba1145b0b55,"Wine - Bourgogne 2002, La",$92.37
3e26496a-e659-4aa5-9398-efd8901b2887,Puree - Raspberry,$69.46
455facc3-917a-4a54-b75f-92b4dec8c46f,"Olives - Green, Pitted",$16.02
c3d1fb50-a804-4a8e-8550-2c456a52e0cb,Wine - Balbach Riverside,$50.43
c3b772c9-7f90-4f5b-8f07-be73ac813e6d,Papayas,$12.08
c690e3e8-2289-4ff9-97fc-7b0352d9f7fe,Bread - Wheat Baguette,$61.96
80c2646d-2bbe-46f2-8730-140333721f31,Sauce - Hoisin,$95.25
9dd728dd-6b12-40b0-be91-baa9f1f1f757,"Lemonade - Natural, 591 Ml",$94.86
bb201dde-89f8-43ae-9ead-d056cbd402fa,Green Scrubbie Pad H.duty,$75.42
9a0cd0fb-8583-4c8e-9e3a-37171a3033a3,Spice - Pepper Portions,$83.80
9740a72e-9bc8-49f4-ac46-ad5f700cd682,Wine - Jaboulet Cotes Du Rhone,$33.32
8490d6c8-2b64-46c0-8aca-496801d06793,Sobe - Cranberry Grapefruit,$35.46
3ffd4017-da0b-4ae5-8bc6-79264926b388,Mudslide,$28.07
c4eb263a-5017-496a-a37e-a295fcf864e6,Sausage - Chorizo,$88.25
15f2eb07-6787-45bf-a1bb-10adf0125490,Sauce - Hp,$33.09
557e9d63-dd92-4904-bbac-89cc8497eb4b,Crab Brie In Phyllo,$71.27
bba70910-4899-42a7-8092-856b5bd5f00c,Truffle Paste,$27.66
4e278442-3a20-4a36-b37c-fe9ff99ad59f,Lamb Rack - Ontario,$49.57
074ae63d-3510-4601-9d11-0419b355b880,Mcgillicuddy Vanilla Schnap,$30.48
c823eed6-aa58-4454-97d0-96ebd68e07e7,Mushroom - White Button,$39.71
728edad8-0c2b-42ce-8ba0-69bb0590d600,Longos - Lasagna Beef,$84.30
8ae3d0fe-e61c-4b27-9c1f-f248a001056f,"Extract - Vanilla,artificial",$41.08
fca05842-c230-4a6c-ba4a-9fb7c8042bd4,"Nut - Almond, Blanched, Sliced",$57.92
d695d44b-8bb2-46e8-833f-494c84d76f6a,Rhubarb,$57.06
5c9c2627-b63e-4ba3-b956-05d49384cda3,Tea - Mint,$25.55
60aab557-9edf-4d35-946f-492383a1d390,Wine - Lou Black Shiraz,$71.24
6db9eb63-cf45-4bb5-a593-3efda6325b3c,Canada Dry,$64.52
62fffad9-b177-4e5d-92bf-0177ce8a5707,Toamtoes 6x7 Select,$19.12
1ecaf5c4-c98b-45e3-b7eb-203285740cbc,Dill Weed - Fresh,$39.26
ccc3724e-f9a4-413d-89e1-bea75eaf949d,Table Cloth 120 Round White,$34.88
ff65ddb1-9750-440e-a7b2-67ba71b84291,Wine - Maipo Valle Cabernet,$89.76
3e3f36d1-11d5-4d88-b4ee-41ddaefd9fc4,Cheese - Marble,$56.34
5bd6552c-eceb-47f1-b80a-267ae7e2bce6,Piping - Bags Quizna,$44.97
31282576-aeae-4186-9d4e-b0f8925b9546,Tomato - Tricolor Cherry,$48.70
2a6052cd-fee4-492a-bd44-30916d961a6d,Melon - Honey Dew,$17.39
160cd299-c430-45f4-b721-4860b379cf69,Wine - Vouvray Cuvee Domaine,$22.71
86cd9cc6-6472-496f-b586-caeb75897622,Aromat Spice / Seasoning,$52.05
d8e9a0aa-1f7d-413e-9d31-62c92ea62ef2,Lighter - Bbq,$96.09
ba122b61-d477-47eb-8856-10f91283002c,Celery Root,$32.11
37e4efa3-3e6c-42ad-bceb-80be7cd5f6b1,Wine - Ej Gallo Sierra Valley,$28.67
61806399-2bf8-43c0-9566-507359de0c6c,Tuna - Salad Premix,$23.59
766c824e-6d98-4167-9853-adaa45e3b967,Truffle Paste,$17.41
e2a9de1d-0fcb-45d3-9d24-0a4941a0f9b4,"Wine - White, Colubia Cresh",$53.21
a7e71839-1323-46a9-a72e-e8c23743c8f1,"Pasta - Lasagna Noodle, Frozen",$68.04
448fe72e-771b-44dd-bc6f-6f7c6cca96fc,Bread - Olive Dinner Roll,$93.83
426cfb65-858a-4595-8b1c-dc196ebd5bfd,Mushroom - Porcini Frozen,$58.78
9cb47b54-faaf-4036-921c-8b20d8309528,Sweet Pea Sprouts,$56.08
4792d4fd-a812-4316-b583-319c91e9faa8,Duck - Fat,$47.38
e65877ae-bcea-4097-8eec-2306fc0735d6,"Salmon - Atlantic, Fresh, Whole",$46.05
bbdf8e34-9c3d-482a-acbf-384cffc3cb57,"Pepper - Paprika, Spanish",$86.19
